behavior_belief1,behavior_belief2
0.06913503243677313,0.11630792495949432
0.012223064569636375,0.4895860058553695
0.064538067319162,0.6122081572373812
0.3252849399080854,0.4853482475250462
0.6870289333235023,0.43992104193142045
0.7666503684615117,0.37365141034691557
0.9318063510973281,0.21036639288118425
0.828409800464011,0.20127841327934298
0.6391546801277064,0.18228600934934244
0.6687773820312496,0.0970100421404429
0.39620748132133204,0.012498191080457244
0.3857026362606524,0.3796519868395105
0.6140892708931867,0.3668655343837932
0.6369063256758579,0.5732636751539898
0.5264346614694818,0.6196015553145122
0.5802202156194304,0.752871852300526
0.6021265168386152,0.717061845782837
0.641268799155325,0.8719379915069375
0.5426726457685396,0.7091609168314952
0.6046320769529155,0.74594078010582
0.606732038094564,0.12896119142943532
0.6256677168851347,0.092188047754311
0.546326746816953,0.3545354638141095
0.6022267906383045,0.4177859104921264
0.6232813509714932,0.6245100226931665
0.8738789951012431,0.7695923150491011
0.9282727535021544,0.5226888610366347
0.9354077110838691,0.5477362415099633
0.9722286995221973,0.3518656622658439
0.8698285850743905,0.29852677840557973
0.8176250144813967,0.12556562410001562
0.7821891086786312,0.2995417189949216
0.9536322880818856,0.3881784839095192
0.7206985678124865,0.5060447621039437
0.9059582703542515,0.6450515426706729
0.8396820219176259,0.6696974560108164
0.983051224615857,0.5537057800410844
0.744954980094735,0.35459209055409163
0.5926054927992251,0.3964259782708736
0.6221831612618918,0.5854891663837426
0.6536956779751933,0.7652414513017936
0.5467558349101654,0.7500246328121274
0.6912402066713762,0.1415952286157048
0.8686824832710176,0.11515957800077026
0.9422675861944129,0.15793002395714195
0.7191040417454967,0.1261964744743371
0.9030533586047752,0.41220189772886384
0.5626665339350667,0.5874616238922705
0.7310198574020493,0.7464760778147441
0.8136441112048627,0.9112905228159476
0.9302804853444123,0.9136329032995759
0.9697698911348863,0.7371907650045493
0.7304749147556481,0.7291972459478442
0.8082959740272491,0.10152288587869451
0.8782059401243156,0.25086646590234046
0.8491419764587241,0.41207414733249403
0.83303982712139,0.48728495445357795
0.9309354293065517,0.8552002703593269
0.8601743659928704,0.9152778137498735
0.880257979700369,0.7547045860618793
0.28842243272236956,0.7468655101191382
0.27311968908490025,0.877184157473031
0.6311387988594163,0.6871671288635228
